address,info,sector,name,country,city,phone,fax,site
ANKARA YOLU 18. KM BARAKFAKİ  SANAYİ BÖLGESİ PK:23 KESTEL,,TEKSTİL,ALTINSU TEKSTİL SAN. VE TİC. LTD ŞTİ.,Türkiye,Bursa,224-3841340,224-3841344,www.altinsutekstil.com
Organize San. Bölgesi 2. Kısım Yıldırım Beyazıt Mah. Barbaros Cad. No:71 Çerkezköy,,TEKSTİL,ALTINYILDIZ KONFEKSİYON VE MENSUCAT FAB. A.Ş.,Türkiye,Tekirdağ,02827267070,02827267080,www.altinyildiz.com.tr
Organize San. Bölgesi 2. Kısım Yıldırım Beyazıt Mah. Barbaros Cad. No:71 Çerkezköy,Tekstil,,ALTINYILDIZ KONFEKSİYON VE MENSUCAT FAB. A.Ş.,Türkiye,Tekirdağ,02827267070,02827267080,www.altinyildiz.com.tr
"La Croix du Breuil 
87250 Bessines sur gartempe",,İŞ GELİŞTİRME,Altia Bessiness,Fransa,Bessines sur gartempe,+33 0 555609070,+33 0 555761951,
1. Organize Sanayi Bölgesi Ahi Evran Mah. Anadolu Cad. No:3 SİNCAN / ANKARA /TÜRKİYE,"ALTİM ALÜMİNYUM LTD.ŞTİ. 2003 yılında kurulmuş ve Kasım 2003 tarihinden itibaren Alüminyum Profil imalatı konusunda faaliyetini sürdürmektedir. Firmamız; Alüminyum Ekstrüzyon konusunda deneyimli kadrosu, bünyesine olan 900 tonluk1460 US tonluk ve 2000 tonluk Ekstrüzyon presleri ile müşteri talepleri doğrultusunda çok sayıda firmaya ve sektöre hizmet vermektedir.

Yapmış olduğumuz üretimler ağırlıklı olarak Otomotiv sektörü, Elektrik-elektronik sanayi, Makine ve ekipman imalatı, Kimya ve Gıda endüstrisi, Mimari uygulamalar (Bina cephe giydirme sistemleri, Kapılar, Pencereler, aksesuarlar ve Çeşitli konstrüksiyonlar), İnşaat sektörü (dilatasyonlar, havalandırma menfezleri), Reklam sektörü ve Mobilya imalatı gibi geniş bir uygulama alanına sahiptir. 
-----------------------------------------------------
Altim Aluminium has been established in 2003 and has been conducting its services in Aluminium profile production since November 2003. Our company has been rendering services for many companies and sectors in line with the customer requests with its personnel experienced in aluminium extrusion and its 900 and 1460 ton press machines. 
The production range consists mainly of automotive sector, electric-electronic industries, machinery and equipment manufacturing, Chemistry and Food industry, architectural applications (Facade systems, doors, windows, accessories and various constructions), construction sector, (dilatations, HVAC), advertising sector and furniture manufacturing.","Metal Extrusion, Dying, Anodising, Coating",Altim Alüminyum,Türkiye,Ankara,0 (312) 267 43 26,0 (312) 267 43 29,info@altim.com.tr
"Altosec Bilişim A.Ş.
Bilkent Cyberpark, A Blok No:703
Ankara 06800 TURKIYE","Yüzde yüz yerli sermaye ile kurulan Altosec, kamu ve özel sektör için veri ve uygulama güvenliği çözümleri sunmaktadır.",,Altosec,Türkiye,Ankara,(0312) 265-0807,,https://altosec.com/
1535. sokak no:26 ivedik organize sanayi / Ankara,defence industry and engineering company,,Altuğ Savunma Makine ve Mühendislik LTD.ŞTİ,Türkiye,Ankara,,,
"Alternatif Plaza Kızılırmak Mah. 1446. Cad. No: 12/18 Çukurambar / Çankaya
Ankara 06510
Türkiye","ALTOY develops&manufactures HALE (High–Altitude, Long–Endurance) Unmanned Aerial Platform Technologies in Turkey, marketing and sales of such Techologies to World Market, Test, Operate, Maintain and Repair of HALE Platforms.",Defense Industry and Aviation Inc.,ALTOY,Türkiye,Ankara,+90 (312) 284 30 12,+90 (312) 284 30 14,www.altoy.com.tr
"Technology Development Office in Brighton, UK: 
Sussex House, Civic Way, Burgess Hill, 
RH15 9AQ 
Brighton, UK


Main Office in London, UK:
Belgrave House
76 Buckingham Palace Road,
London, SW1W 9AX","The American Express Company, also known as Amex, is an American multinational financial services corporation headquartered in Manhattan's Three World Financial Center in New York City, United States.",Finance,American Express - United Kingdom,United Kingdom,Brighton,+44-077-86895632,,https://www.americanexpress.com/uk/
"METU Teknokent Silikon Bloklar kat:1 no:10
06800 Ankara","Alyo provides the leading video software platform to TV Broadcasters that pursue multi-screen live streaming, video publishing, distribution and monetization strategies.

Alyo provides the most complete live and on-demand video management, analytics, syndication, and tracking features along with player development kits for iOS, Android and desktop devices. Alyo’s platform brings revenue by helping broadcasters replace TV ads with user-targeted dynamic ads on all platforms.","Self-service platform for HD live streaming, real-time clip editing, social sharing and archival",Alyo Bilgi Tek. Yazılım Danışmanlık Sav. San. Tic. Ltd. Şti.,Türkiye,Ankara,0312 210 15 14,,http://www.anvato.com/
CYBERPLAZA C BLOK K:3 NO:21 BİLKENT,,,ALTUS YAZILIM DESTEK VE DAN. HİZ.SAN.TİC.LTD.ŞTİ.,Türkiye,Ankara,312 265 0112,312 265 0114,
AM SEESTERN 18 40547 DUSSELDORF,,,AMIANTIT SERVICE GmbH,Almanya,Düsseldorf,49-211-550-270-40,49-211-550-270-98,www.amiantit.com
Pınarbaşı Mah. Dumlupınar Bulv. AR-GE Sitesi No: 758/2 Kat: 1 Konyaaltı / Antalya,Otel ve turizm alanında yazılım geliştiriyor.,Otel ve Turizm,AmonRa Yazılım Ticaret Ltd. Şti.,Türkiye,Antalya,+90 242 227 72 01,,http://www.amonra.com.tr/
Adres : Atalar Mah. Yaşar Erken Sok. No:8 Körfez/ Yarımca 41470 Kocaeli,"Çevre duyarlılığı ve yüksek kalite bilinci ile mısır yağı, ayçiçek yağı ve diğer bitkisel yağları üreterek yurtiçi/yurtdışı pazarına sunan Ana Gıda, zeytinyağında da Türkiye’nin ilk zeytinyağı markası olan Komili (1878), Sezai Ömer Madra (1914) ve Kırlangıç (1953) ile lezzet ve kaliteyi yıllardır tüketicisine sunuyor.

Anadolu Grubu bünyesinde yer alan Ana Gıda 2008 yılı Kasım ayında Komili markasını da bünyesine ekleyerek zeytinyağı pazarında markalı satışta liderliğini ilan etti. 2009 Mart ayı itibariyle SEEF Foods S.A.R.L. yatırım fonu Ana Gıda’nın %44,75’ini satın alarak ortak oldu.

Türkiye perakende zeytinyağı pazarında Ana Gıda, markalarıyla cirosal bazda %35’lik pazar payına ulaşıyor.

Çeşitli marka ve ambalajlarda yurtdışına yağ ihracatı yapan Türkiye’nin önde gelen kuruluşlarından biri olan Ana Gıda, Uzak Doğu ve Ortadoğu ülkelerinin yanı sıra, ABD ve Avrupa Birliği ülkelerine de yağ satmaktadır.",Gıda,Ana Gıda,Türkiye,Kocaeli,0262 528 7000,0262 528 7008,http://www.anagida.com.tr/
GMK Bulvarı 128/C 06430 Maltepe ANKARA,"Anadolu Ajansı is a news company in Turkey. In Anadolu Ajansı, electrical and electronics engineers and computer engineers use several programming languages to develop necessary Image Processing programs and web applications.","Media, Image Processing, Programming",Anadolu Ajansı - Arge Departmanı,Türkiye,Ankara,+90 312 999 20 00,+90 312 231 21 74,http://www.aa.com.tr/
Büyükdere Caddesi İş Kuleleri Kule 2 34330 4. Levent,,SİGORTA,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,Türkiye,İstanbul,0212 350 0 350,0212 350 0 355,www.anadolusigorta.com.tr
Rüzgarlıbahçe mahallesi. Kavak sokak. No 31. 34805 Kavacık/İstanbul,Sigortacılık sektöründe alanının önde gelen firmalarındandır.,Sigorta,Anadolu Anonim Türk Sigorta Şirketi Genel Müdürlük,Türkiye,İstanbul,,,
"Organize Sanayi Bölgesi
1203 Sokak 15.Cadde
No:6 Odunpazarı ESKİŞEHİR","Şişecam, 1935 yılında Türkiye'nin ilk cam üretim tesisi olarak faaliyete başlamıştır. Şişecam Topluluğu Düzcam, Cam Ambalaj, Cam Ev Eşyası ve Kimyasallar olmak üzere 4 ana gruptan oluşmaktadır. Anadolu Cam, Şişecam Topluluğu'nun Ambalaj grubuna bağlı cam ambalaj üreten kuruluşudur. Gıda, su, madensuyu, meşrubat, meyve suyu, süt, bira, şarap ve diğer yüksek alkollü içecekler ile ecza ve kozmetik sektörlerine çeşitli hacim ve renklerde ambalaj üretmektedir. Ulaştığı büyüklüklerle Avrupa'nın önde gelen cam ambalaj üreticileri arasında yer almaktadır.

Şu anda dört ülkede, on üretim tesisi ile faaliyet gösteren Anadolu Cam, yurtiçindeki faaliyetlerini Mersin, Bursa Yenişehir ve Eskişehir'deki fabrikalarında yürütmektedir.

Üretim tesislerinde son teknolojiler kullanılmaktadır.  Hafifletilmiş, üç ana renk (beyaz, yeşil, bal) yanında forehearth renklendirmesi ile diğer renklerde de ambalajlar üretilmektedir. 6 cc'den 15000 cc'ye kadar değişik hacimlerde üretim yapılmakta ve ürün özelliklerine göre; çeşitli baskı ve yüzey kaplamaları uygulanmaktadır.",Üretim/Cam,Anadolu Cam Eskişehir Sanayi A.Ş.,Türkiye,Eskişehir,(222) 211 45 69,,http://www.anadolucam.com.tr/uretim.php?ID=2
"Toroslar Mahallesi, Tekke Sokak, No:1/A, 
Akdeniz-MERSİN","Gıda, su, maden suyu, meşrubat, meyve suyu, süt ve diğer içecekler ile ecza ve kozmetik sektörlerine çeşitli hacim ve renkte cam ambalaj üretmektedir.",Cam Ambalaj Üretimi,Anadolu Cam Sanayii A.Ş.,Türkiye,Mersin,0324 241 70 70,0324 454 00 28,sisecamcamambalaj.com
MALTEPE DAVUTPAŞA CD. NO:42 TOPKAPI,IE;ME,,ANADOLU CAM SANAYİİ A.Ş.                                           TOPKAPI FABRİKASI,Türkiye,İstanbul,212 4595340,212 4595444,
"Kuleli Sokak No: 49 / 29
Gaziosmanpaşa ANKARA",Ansolon Medya is a mobile application developer company. It develops and improves ios and android applications as well as websites.,CS,Ansolon Medya,Türkiye,Ankara,03124464461,,http://www.ansolon.com/
"Saray Mah., Akçakoca Cad., No:11, 34768 Ümraniye/İstanbul","Kuruluş Tarihi:	13.12.1991
Faaliyetler:	İnşaat Sektöründe Her Türlü Altyapı ve Üstyapı İşleri",İnşaat,Ant Yapı Sanayi ve Ticaret A.Ş.,Türkiye,İstanbul,0216 630 67 67,0216 632 56 40,http://www.antyapi.com.tr/
"Tobb Etü Teknokent Garage
Sogutozu Cad. No:43, Sogutozu,
Ankara / Turkey","Online Live Video Broadcasting Service. A startup in Tobb Etü Teknokent. The Only Open Source Media Server that supports RTMP, MP4, HLS, RTSP and WebRTC",Media,Ant Media,Türkiye,Ankara,05073739510,,antmedia.io
"Şirinyalı Mahallesi, 1528. Sk. N:4 D:5, 07160 Muratpaşa/Antalya, Türkiye","ANTVERSE, is a software company that serves in the areas such that institutive and individual web site designs, B2B and B2C e-trade site applications, special software solutions, individual and institutive mobile applications (android/IOS/hybrid), information technologies.",,Antverse,Türkiye,Antalya,+90 533 168 71 06,,www.antverse.com
"Saray Mah. Dr.Adnan Büyükdeniz Cad. No:2
Akkom Ofis Park 3. Blok Kat: 7-9
Istanbul, Ümraniye
34768 Türkiye","Aon, risk yönetimi, sigorta ve reasürans brokerlik, insan kaynakları çözümleri ve dış kaynak hizmetleri konularında uluslararası en önde gelen hizmet sağlayıcısıdır.","Risk yönetimi ve danışmanlığı, sigortacılık, reasürans",AON SİGORTA VE REASÜRANS BROKERLİĞİ ANONİM ŞİRKETİ,Türkiye,İstanbul,+90(216)636 0700,,http://www.aon.com/turkey/tr/
Altay Mah. Domaniç Cad. MESA Blokları Göze Apt 8/21 Eryaman Etimesgut Ankara,"R&D based small sized company

-Synthesis of Nano materials
-R&D on next gen solar cells (DSCC, Perovskite solar cells)
-Solar cell tester (containing if I-V measurement, LED light source, operation software, etc)","Research and Development, Operation Software",AP Nanoteknoloji Ltd.,Türkiye,Ankara,0312 586 8786,,
Bilkent Cyberpark,"AI powered, secure mobile growth platform with proven success and global access to both demand-side and supply-side of the mobile industry",Yazılım,App Samurai,Türkiye,Ankara,+14159441409,,appsamurai.com
"Odtü, Ostim Teknokent, 1 NK 22 Ostim",,,"Apsis Kontrol Sistemleri Ltd Şti
AR-GE",Türkiye,Ankara,,,
"CUPERTINO, CALIFORNIA 95014",,,APPLE INC.,Amerika,CUPERTINO,408-996-1010,,probins@apple.com
Ankara Teknoloji Geliştirme Bölgesi Cyberpark Cyberplaza Kapı No:4/A A Blok 2.Kat No: A202a 06800 Bilkent Çankaya/Ankara,"APPS is a software company which produces Android and iOS mobile applications. Additionally they provide training, consultancy and IoT Prototypes services.",Software,Apps Bilgi Teknolojileri,Türkiye,Ankara,+90 312 265 05 53,,http://4pps.co/
TÜBİTAK MAM TEKSEB YENİ TEKNOLOJİ BİNALARI C BLOK K:1 NO:106 41470 GEBZE,,,AQVILA SOFTWARE YAZILIM A.Ş.,Türkiye,Kocaeli,262 444 0298,262 444 0298,www.aqvilasoftware.com
Gülabibey Mah Yenidoğan 4.sok no4/B Çorum,Producing electrical distribution panels.,,AR ELEKTRIK,Türkiye,Çorum,03642131045,,arelektrik.com
1. O.S.B. Avrupa Hun Cad. No: 10 Sincan/Ankara/Türkiye,"Ar Grup Makine 1975 yılında İrfan Ermiş tarafından kurulmuş olup teknolojik gelişmeler ışığında bugün hala müşterilerinin talep ve isteklerini en hızlı ve kaliteli şekilde karşılamaktadır. 
 
Ar Grup Makine Sincan Organize Sanayide 4100 m2 kapalı alana ulaşan, profesyonel kadrosu ve sanayideki yarım asır’a yakın tecrübesi ile Türkiye’nin önde gelen ana tedarikçi kuruluşları arasındadır.

Müşterilerine Otomotiv sektörü, Savunma sanayi, Medikal sektörü ve Enerji sektörü gibi çok çeşitli alanlarda hizmet vermeye devam etmektedir. Müşteri memnuniyetine verilen önemle; ürünleri, insan kaynağını, süreçleri ve kalitesini sürekli iyileştirmek suretiyle lider konumunu korumaktayız. 

Türkiye’de faaliyetlerini yürütmekte olan grubun en büyük gücü parçaların üretimindeki en kritik nokta olan fikstür ve kalıp teknolojisindeki uzmanlığına dayanmaktadır. Ülkesinde istihdam yaratmaya devam eden şirket son teknoloji tezgâhlarla Kalıp İmalatı, Kaynaklı imalat, Robot kaynağı, CNC talaşlı imalat, Eksantirik&hidrolik preslerle sac şekillendirme imalatı, Lazer kesim ve Abkant büküm imalatları ile üretime devam etmektedir. 

Ar grup makine tecrübelerinin ürünü olarak, NEWHOLLAND,MAN A.Ş, BOZANKAYA, TÜRK TRAKTÖR, ERKUNT TRAKTÖR, HİDROMEK İŞ MAKİNALARI, ASELSAN SAVUNMA SANAYİ, ULUSOY ELEKTİRİK VE KBB TAUTMANN gibi Türkiye’nin önde gelen kuruluşlarının ana tedarikçisi konumundadır.",Otomotiv Yan Sanayi,Ar Grup Makine San. ve Tic. A.Ş.,Türkiye,Ankara,0312 267 51 00,0312 267 51 05,http://www.argrupmakine.com.tr
kennedy cad. 114/3 Kavaklıdere,,,"AR-BA MOBİLYA PAZARLAMA
Pazarlama",Türkiye,Ankara,,,
Şükrüpaşa Mahallesi TEK Lojmanları sokak NO : 57 25050 YAKUTİYE/ERZURUM,"28 Haziran 2013 tarihinde, özelleştirme ihale sonucunda Aras EDAŞ İhalesini kazanan Kiler Holding ve Çalık Holding Aras EDAŞ’ı devralmıştır.
Aras EDAŞ yaklaşık 815 bin abonesiyle elektrik dağıtım ve perakende satış hizmetlerini yerine getirmekte, bünyesine katmış olduğu deneyimli uzman kadrosu ve sistemde yapmış olduğu çağdaş değişikliklerle, abonelerine sürekli ve kesintisiz hizmet sağlayan elektrik dağıtım şirketi haline gelmiştir.",EE,Aras Edaş,Türkiye,Erzurum,8502002020,4422422780,info@arasedas.com
BÜYÜKDERE CAD. NO:85 KAT:3 STAD HAN MECİDİYEKÖY ŞİŞLİ / İSTANBUL,1979 da kurulmuş kargo şirketi,,Aras Kargo,Türkiye,İstanbul,0 (212) 332 23 00,0 (212) 289 78 12,https://www.araskargo.com.tr/
GÜZELTEPE MH. ABİDİN DAVER SK. NO:3/7 ÇANKAYA,,,ARASKOM A.Ş.,Türkiye,Ankara,312 441 2220,312 441 2292,www.araskom.com
"Şair Nedim Sok. 19/1, Aşağı Ayrancı, Çankaya Ankara","Arber A.Ş. kongre, seminer, kurumsal organizasyon düzenleyen ve Meetinghand prejesi altında bu etkinliklere yönelik yazılımlar yapan bir şirkettir.",Yazılım,ARBER A.Ş.,Türkiye,Ankara,+90 312 441 07 00,+90 312 441 07 01,htttp://www.arber.com.tr
10015 Sokak No:7 K:1 A.O.S.B. 35620 Çiğli/İZMİR,"Endüstri,ısı,enerji ve inşaat alanında farklı projeler alarak üzerinde çalışmalar yapılmaktadır.","Enerji,ısı ve inşaat",Arat Endüstri Tesisleri İnşaat Enerji Isı San. ve Tic. Ltd. Şti.,Türkiye,İzmir,02323767190,02323281642,www.aratendüstri.com.tr
GÜNEŞ SOKAK NO: 16/7 K. DERE 06690,,"BİLİŞİM, EĞİTİM VE YÖNETİM DANIŞMANLIK",ARC INTERNATIONAL - INVENTA,Türkiye,Ankara,312-4268500,312-4272007,www.arc-int.com.tr
"Cumhuriyet Mah.Belediye Cad. No:2
Beylikdüzü İstanbul",Elektronik İşletmesi (Beylikdüzü) Kampüsü,Elektronik eşya üretim,Arçelik A.Ş,Türkiye,İstanbul,0212 8721300,0212 8722013,http://www.arcelikas.com/
"Organize Sanayi Bölgesi
26110",Refrigerator Plant,Manufacturing,Arçelik A.Ş,Türkiye,Eskişehir,(0222)2134343,(0222)2134344,http://www.arcelik.com.tr
Cumhuriyet Mahallesi E-5 Yan Yol No:1 Büyükçekmece,Elektronik üretim,Elektronik ürün işletmesi,Arçelik A.Ş,Türkiye,İstanbul,0212 872 20 00,,http://www.arcelik.com.tr/default.aspx?lang=tr-TR
"Cumhuriyeti Mah., Fabrikalar Sk., E- Yan Yol No:1, 34520 Beylikdüzü Osb/Beylikdüzü/İstanbul","Arçelik Elektronik İşletmesi
(Electronics Plant)",Elektronik ürün işletmesi,Arçelik A.Ş,Türkiye,İstanbul,0212 8721300,0212 8722013,http://www.arcelikas.com/
"Yeni Mahalle, Cumhuriyet Bulvarı
No: 73/4, 33281 Kazanlı/MERSİN","Arbel A.Ş. ,Mersin’de kurulu, günlük 4.000 MT işleme kapasitesine sahip tesisleri ile Türkiye’nin ve dünyanın önde gelen bakliyat ihracat firmalarından birisidir.",Gıda,Arbel Grup,Türkiye,Mersin,+90-324-241-1111,+90-324-451-3201,http://www.arbel.com.tr
Çayırova Mahallesi Arçelik Fabrikası 34950 Tuzla / İstanbul,"Arçelik A.Ş. is a household appliances manufacturer from Turkey. The Company engages in the production and marketing of durable goods, components, consumer electronics and after-sale services.",General R&D Department,Arçelik A.Ş,Türkiye,İstanbul,,,http://www.arcelikas.com/
Çayırova Mahallesi Arçelik Fabrikası 34950 Tuzla / İstanbul,"Arçelik A.Ş. is a household appliances manufacturer from Turkey. The Company engages in the production and marketing of durable goods, components, consumer electronics and after-sale services.",General R&D Department,Arçelik A.Ş Ar-Ge,Türkiye,İstanbul,,,http://www.arcelikas.com/
Organize Sanayi Bölgesi 1.Cadde 26110,Buzdolabı tasarlar ve üretir,Beyaz Eşya,Arçelik A.Ş Eskişehir Buzdolabı İşletmesi,Türkiye,Eskişehir,(222) 213 43 43,(222) 213 43 44,http://www.arcelik.com.tr/default.aspx?lang=tr-TR
"Sütlüce,Karaağaç Cad.2/6 Beyoğlu 34445",,BEYAZ EŞYA,ARÇELİK A.Ş.,Türkiye,İstanbul,02123143434,02123143463,www.arcelikas.com.tr
Organize Sanayi Bölgesi 26540,,,ARÇELİK A.Ş.,Türkiye,Eskişehir,,,
Cumhuriyet Mahallesi E-5 Yan Yol No:1 Büyükçekmece,"Dayanıklı tüketim ve tüketici elektroniği sektörlerinde üretim, pazarlama ve satış sonrası destek hizmetleri ile faaliyet gösteren Arçelik A.Ş. yaklaşık 27.000 çalışanı, Türkiye, Romanya, Rusya, Çin ve Güney Afrika'da 15 üretim tesisi*, dünyanın dört bir yanındaki  satış ve pazarlama organizasyonu ve kendisine ait 10 markasıyla (Arçelik, Beko, Grundig, Blomberg, Elektrabregenz, Arctic, Leisure, Flavel, Defy ve Altus) 135’ten fazla ülkede ürün ve hizmet sunmaktadır.",Dayanıklı tüketim ve tüketici elektroniği,ARÇELİK A.Ş.,Türkiye,İstanbul,(212) 872 20 00,,www.arcelikas.com
"Altınordu cad.No:3
Organize Sanayi Bölgesi
06930 Sincan-ANKARA",Arçelik AŞ. Bulaşık Makinesi İşletmesi,,Arçelik A.Ş. Bulaşık Makinesi İşletmesi,Türkiye,Ankara,0-312-5892015,0-312-5892121,
"Altınordu cad.No:3
Organize Sanayi Bölgesi
06930 Sincan-ANKARA",Arçelik AŞ. Bulaşık Makinesi İşletmesi,,Arçelik A.Ş. Bulaşık Makinesi İşletmesi,Türkiye,Ankara,0-312-5892015,0-312-5892121,
"Atatürk OSB, 59520 Karaağaç/Çerkezköy/Tekirdağ","Having operations in durable consumer goods industry with production, marketing and after-sales services, Arçelik A.Ş. offers products and services around the world with its 30,000 employees, 18 different production facilities in 7 countries (Turkey, Romania, Russia, China, South Africa and Pakistan), its 34 sales and marketing companies in 32 countries all over the world and its 11 brands (Arçelik, Beko, Grundig, Blomberg, ElektraBregenz, Arctic, Leisure, Flavel, Defy , Dawlance and Altus) serving products and services in more than 145 countries.",R&D,Arçelik A.Ş. Dryer and Electric Motors Plant,Türkiye,Tekirdağ,(0282) 736 50 50,,http://www.arcelikas.com/
Yukarı Soku Köyü Deliklitaş Mevkii 14300,,,ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,Türkiye,Bolu,,,
yukarı Soku Köyü 14300 Deliklitaş Mevkii,,,ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,Türkiye,Bolu,(374) 215 20 91,(374) 212 76 16,
yukarı Soku Köyü 14300 Deliklitaş Mevkii,Cooking Appliances Plant,,ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,Türkiye,Bolu,(374) 215 20 91,(374) 212 76 16,
"Arçelik ODTÜ Teknokent Titanyum Blok 17/B 
06800 Ankara","Ar-Ge çalışmaları, Arçelik A.Ş.'nin strateji ve büyüme hedeflerine paralel olarak şekillenmektedir. Bu çerçevede hedef pazarlara uygun ürünler, rekabetçi teknolojiler, optimize edilmiş tasarım, çevreci yaklaşımlarla (enerji ve su tüketimi, ses gücü düzeyi) desteklenmektedir.",,Arçelik Ar-Ge Tasarım Ofisi,Türkiye,Ankara,+90 312 589 7550,+90 850 219 9284,
"Çamaşır Makinesi İşletmesi
Tuzla 34950",,,"ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ
Ar-Ge",Türkiye,İstanbul,,,
34950 Tuzla,Çamaşır Makinesi Üretimi,Beyaz Eşya,ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ,Türkiye,İstanbul,,,www.arcelikas.com.tr
34950 Tuzla,çamaşır makinesi üretimi,Beyaz Eşya Üretim,ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ,Türkiye,İstanbul,+90 216 585 8585,+90 216 585 85,www.arcelikas.com.tr
Altınordu Cad. No:3 Organize Sanayi Bölgesi Sincan 06935,Bulaşık Makinası Üretmektedir.,"MAKİNE, ELEKTRİK",ARÇELİK A.Ş.Bulaşık Makinesi İşletmesi,Türkiye,Ankara,03125892020,03125892121,
"Karaağaç Caddesi 6/2
Beyoğlu/İstanbul","Dayanıklı tüketim ve tüketici elektroniği sektörlerinde satış, pazarlama ve satış sonrası destek hizmetleri ile faaliyet gösteren Arçelik Pazarlama A.Ş., kendine ait 4 markası (Arçelik, Beko, Grundig ve Altus) ve marka işbirlikleri ile Türkiye’nin her yerinde ürün ve hizmet sunmaktadır. 3000’e yakın yetkili satıcısıyla Türkiye’nin en büyük kapalı satış alanına sahip Arçelik Pazarlama A.Ş, geniş ve yaygın yetkili satış ve servis ağıyla modern perakendeciliğin ülkemizdeki en büyük temsilcilerindendir.",,Arçelik Pazarlama A.Ş.,Türkiye,İstanbul,+90 (212) 314 33 33,,
ORGANİZE SANAYİ BÖLGESİ İHSAN DEDE CAD. 41400 GEBZE,,ÜRETIM,ARÇELİK LG KLİMA,Türkiye,Kocaeli,2626787878,2626787879,www.arcelik-lg.com
Bor Yolu 7. Km. Organize Sanayi Bölgesi 8. Cadde No:16 Niğde / TÜRKİYE,"Arçim Ltd. Şti. Niğde Organize Sanayi Bölgesinde 7500 m2'lik alanda hizmet vermektedir.
Döner fırın manto imalatlatları, ring montaj ve demontajları, klinker soğutma demontaj ve montajları, farin değirmenleri, ayna muylu demontaj ve montajları, konkasör, rotör montaj ve demontajları, çimento değirmenleri symetro dişli montaj ve demontajları, döner fırın ayar işleri, havalı bantlar, helezonlar, elevatörler, soğutma şasesi (pabuç bağlantılı) imalatları olup, manto, ring birleşmelerinde de son model ekipmanlar ile çalışmaktadır.",,ARÇİM Makina Bakım - Onarım - İmalat Sanayi ve Tic. Ltd. Şti.,Türkiye,Niğde,+90 388 225 03 25,+90 388 225 03 36,http://www.ar-cim.com.tr/english/index.html
"Çamaşır Makinesi İşletmesi
Tuzla 34950",Arçelik Ar-Ge,,ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ Ar-Ge,Türkiye,İstanbul,,,
İstanbul Yolu 40. Kilometre Kumpınar Köyü Mevki Kahramankazan / Ankara / Türkiye,"Ardıç Cam Sanayi Ticaret Limited Şirketi 1992 yılında kurulmuş  olup , artan  üretim ve satış   kapasitesinin yanı sıra sektördeki gelişmeleri de değerlendirerek  flaot cam satışı ve ısıcam üretimine başlamıştır. Ardıç Cam Sanayi Ticaret, günümüzde; float cam, flaot ayna gibi temel ürünlerden, parapet ve cephe kaplama camlarına, özel nitelikli konut camlarından dekoratif camlara, cam tuğla ve parkelere, cam kapılara, güvenlik camlarından (temperli ve lamine camlar) kontra saldırı ünitelerine kadar çok farklı ürün gruplarının üretim ve satışını gerçekleştirmektedir. Donanımlı teknik altyapısı, titiz çalışma ilkeleri ve çağdaş üretim koşullarıyla ,üretim planlamadan nakliyeye kadar tüm birimlerinde kalitesini korumakta ve bu konudaki kararlılığı ile dünya standartlarıyla buluşmaktadır.",Manufacturing,Ardıç Cam,Türkiye,Ankara,Tel: +90 312 814 36,Faks: +90 312 814 36,https://www.ardiccam.com.tr/
HACETTEPE TEKNOKENT 2. AR-GE BİNASI ZEMİN KAT NO:8 06800 BEYTEPE/ANKARA,,,ARD GRUP BİLİŞİM MEDİKAL DAN. TİC. LTD. ŞTİ.,Türkiye,Ankara,312 2992595,312 2992596,www.ardgrup.com.tr
"Anadolu Cam Yenişehir San. A.Ş. Organize Sanayi Bölgesi, Yenişehir, Bursa","Şişecam, 1935 yılında Türkiye'nin ilk cam üretim tesisi olarak faaliyete başlamıştır. Şişecam Topluluğu Düzcam, Cam Ambalaj, Cam Ev Eşyası ve Kimyasallar olmak üzere 4 ana gruptan oluşmaktadır. Anadolu Cam, Şişecam Topluluğu'nun Ambalaj grubuna bağlı cam ambalaj üreten kuruluşudur.",,Anadolu Cam Yenişehir Sanayi A.Ş.,Türkiye,Bursa,,,
BAHÇELİEVLER MH. ADNAN KAHVECİ BLV. NO:5 P.K.1 BAHÇELİEVLER,,,ANADOLU EFES BİRACILIK MALT SAN.A.Ş.,Türkiye,İstanbul,212 4493600,212 5545871,
Esentepe mah.Anadolu cad.No:3 34870 Kartal-İstanbul,,,ANADOLU EFES BİRACILIK VE MALT SAN. AŞ /KARTAL,Türkiye,İstanbul,+90 216 586 80 00,+90 216 488 64 72,
"Güzelevler Mah. Girne Bulvarı No:284/A 01310 Yüreğir, Adana",Efes bira seri üretimi,,Anadolu Efes Biracılık ve Malt Sanayi A.Ş. Adana Ş.B.,Türkiye,Adana,0 (322) 355 12 00,,http://www.anadoluefes.com.tr/
Kemalpaşa Cad.No.47-51 Işıkkent - Bornova,,,Anadolu Efes Biracılık ve Malt Sanayi A.Ş. İzmir Ş.B.,Türkiye,İzmir,0232 397 45 44,0232 496 19 40,
